,,,,,,,mg/l,,,,,,mg/L,count/100ml,,mg/L,L,kg,,,,,,,
Location ,Date,Irr/Storm ,Station,Dup,event,ID,op,no2,no3,tkn,tp,selenium (mg/L),TSS,E COLI,fecal,tss,Flow ,OP,NO3,NH4,TKN,TP,E COLI,fecal,notes
Kerbel,6/17/2022,Irr 1 rep 1,CT1,,,CT1-FF-01-GB,U,,7.1,,0.11,0.022,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,INF,,,INF-01-GB-DAY1,U,,7.9,,U,0.0055,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-01-LC,U,,6.5,,0.3,0.0058,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-01-LC-D,U,,6.7,,0.36,0.0061,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-FF-01-GB,U,,7.1,,0.23,0.007,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-01-LC,U,,6.7,,0.26,0.0065,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-01-LC-D,U,,6.7,,0.29,0.0067,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-FF-01-GB,U,,9.8,,0.41,0.0073,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,CT2,,,CT2-01-LC,U,,6.7,,0.24,0.0053,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,INF,,,INF-01-GB-DAY2,U,,7.8,,U,0.0054,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,MT2,,,MT2-01-LC,U,,6.7,,0.28,0.0066,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,MT2,,,MT2-FF-01-GB,U,,8.5,,0.42,0.0071,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,ST2,,,ST2-01-LC,U,,6.7,,0.29,0.0059,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,ST2,,,ST2-FF-01-GB,U,,13,,1.4,0.012,,,,,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-02-LC,U,1.7,7,U,0.22,0.0069,,,,190,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-02-LC-D,U,2.6,7,U,0.24,0.006,,,,203.33,,,,,,,,,op marked as N
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-FF-01-GB,U,U,7.6,3.1,0.26,0.0079,,,,896.665,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,,,,KB-02-IN1,U,U,6.6,U,U,0.0061,,,,33.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,,,,KB-02-IN1-D,U,U,7.9,U,U,0.006,,,,36.667,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,MT1,,,MT1-02-LC,U,2.7,7.1,3.3,0.28,0.0078,,,,1116.667,,,,,,,,,
